Size, Pivot count, Time [ms]
500000000, 1, 28168
500000000, 2, 27693
500000000, 3, 30055
500000000, 1, 26775
500000000, 2, 27524
500000000, 3, 30545
500000000, 1, 29447
500000000, 2, 27642
500000000, 3, 29761
500000000, 1, 27784
500000000, 2, 29176
500000000, 3, 31164
500000000, 1, 26132
500000000, 2, 25517
500000000, 3, 32535
500000000, 1, 29020
500000000, 2, 30273
500000000, 3, 30030
500000000, 1, 25482
500000000, 2, 24880
500000000, 3, 33068
500000000, 1, 29694
500000000, 2, 25766
500000000, 3, 32364
500000000, 1, 27132
500000000, 2, 29546
500000000, 3, 30802
500000000, 1, 25098
500000000, 2, 28149
500000000, 3, 29940
500000000, 1, 29326
500000000, 2, 25728
500000000, 3, 29442
500000000, 1, 26362
500000000, 2, 25575
500000000, 3, 30200
500000000, 1, 32362
500000000, 2, 26377
500000000, 3, 30158
500000000, 1, 26727
500000000, 2, 25902
500000000, 3, 33822
500000000, 1, 26430
500000000, 2, 25356
500000000, 3, 29372
500000000, 1, 29537
500000000, 2, 28412
500000000, 3, 30479
500000000, 1, 26703
500000000, 2, 28336
500000000, 3, 31136
500000000, 1, 26078
500000000, 2, 29186
500000000, 3, 29605
500000000, 1, 27252
500000000, 2, 27999
500000000, 3, 30303
500000000, 1, 29208
500000000, 2, 26386
500000000, 3, 30206
500000000, 1, 28407
500000000, 2, 27591
500000000, 3, 30666
500000000, 1, 27313
500000000, 2, 28730
500000000, 3, 32609
500000000, 1, 26379
500000000, 2, 28486
500000000, 3, 29175
500000000, 1, 28887
500000000, 2, 26388
500000000, 3, 28032
500000000, 1, 30728
500000000, 2, 28958
500000000, 3, 33756
500000000, 1, 25601
500000000, 2, 27781
500000000, 3, 28096
500000000, 1, 27913
500000000, 2, 28838
500000000, 3, 32888
500000000, 1, 26922
500000000, 2, 28569
500000000, 3, 28380
500000000, 1, 27615
500000000, 2, 27290
500000000, 3, 32107
500000000, 1, 29224
500000000, 2, 30564
500000000, 3, 31804
500000000, 1, 31733
500000000, 2, 27510
500000000, 3, 31078
500000000, 1, 27142
500000000, 2, 28734
500000000, 3, 28025
500000000, 1, 26700
500000000, 2, 28266
500000000, 3, 30922
500000000, 1, 24823
500000000, 2, 27089
500000000, 3, 33097
500000000, 1, 28641
500000000, 2, 29082
500000000, 3, 31925
500000000, 1, 28639
500000000, 2, 32376
500000000, 3, 30939
500000000, 1, 30832
500000000, 2, 29409
500000000, 3, 32288
500000000, 1, 30255
500000000, 2, 27466
500000000, 3, 33651
500000000, 1, 26302
500000000, 2, 26888
500000000, 3, 29687
500000000, 1, 29282
500000000, 2, 28188
500000000, 3, 30726
500000000, 1, 26307
500000000, 2, 30397
500000000, 3, 33924
500000000, 1, 26805
500000000, 2, 26678
500000000, 3, 31058
500000000, 1, 28220
500000000, 2, 27832
500000000, 3, 30214
500000000, 1, 27760
500000000, 2, 27423
500000000, 3, 27993
500000000, 1, 25721
500000000, 2, 29432
500000000, 3, 33047
500000000, 1, 25387
500000000, 2, 27194
500000000, 3, 32667
500000000, 1, 27326
500000000, 2, 26559
500000000, 3, 28306
500000000, 1, 27231
500000000, 2, 28015
500000000, 3, 32287
500000000, 1, 28948
500000000, 2, 29328
500000000, 3, 31757
500000000, 1, 25921
500000000, 2, 27993
500000000, 3, 30582
