Size, Pivot count, Time [ms]
100000000, 1, 5100
100000000, 2, 5621
100000000, 3, 6011
100000000, 1, 5471
100000000, 2, 4917
100000000, 3, 5994
100000000, 1, 5102
100000000, 2, 5279
100000000, 3, 5609
100000000, 1, 4867
100000000, 2, 5455
100000000, 3, 6317
100000000, 1, 4843
100000000, 2, 5158
100000000, 3, 5445
100000000, 1, 4915
100000000, 2, 5518
100000000, 3, 5904
100000000, 1, 4998
100000000, 2, 4875
100000000, 3, 5304
100000000, 1, 5276
100000000, 2, 5548
100000000, 3, 5855
100000000, 1, 5095
100000000, 2, 5213
100000000, 3, 5654
100000000, 1, 5126
100000000, 2, 5282
100000000, 3, 5594
100000000, 1, 5104
100000000, 2, 5671
100000000, 3, 5853
100000000, 1, 5419
100000000, 2, 4754
100000000, 3, 5698
100000000, 1, 5566
100000000, 2, 5360
100000000, 3, 6147
100000000, 1, 5324
100000000, 2, 5214
100000000, 3, 5883
100000000, 1, 5530
100000000, 2, 5091
100000000, 3, 5536
100000000, 1, 5920
100000000, 2, 5057
100000000, 3, 5470
100000000, 1, 4992
100000000, 2, 5516
100000000, 3, 6186
100000000, 1, 5105
100000000, 2, 5439
100000000, 3, 5705
100000000, 1, 5251
100000000, 2, 4941
100000000, 3, 5825
100000000, 1, 5403
100000000, 2, 5484
100000000, 3, 5994
100000000, 1, 5108
100000000, 2, 5053
100000000, 3, 5837
100000000, 1, 4972
100000000, 2, 5146
100000000, 3, 5834
100000000, 1, 5333
100000000, 2, 5122
100000000, 3, 6195
100000000, 1, 5347
100000000, 2, 4600
100000000, 3, 5999
100000000, 1, 5410
100000000, 2, 4832
100000000, 3, 6076
100000000, 1, 5434
100000000, 2, 4688
100000000, 3, 5696
100000000, 1, 5265
100000000, 2, 4780
100000000, 3, 5522
100000000, 1, 4842
100000000, 2, 5175
100000000, 3, 5944
100000000, 1, 5518
100000000, 2, 5344
100000000, 3, 6200
100000000, 1, 4776
100000000, 2, 5074
100000000, 3, 5920
100000000, 1, 4796
100000000, 2, 4952
100000000, 3, 5869
100000000, 1, 5419
100000000, 2, 5093
100000000, 3, 5451
100000000, 1, 4995
100000000, 2, 5313
100000000, 3, 5717
100000000, 1, 5288
100000000, 2, 5337
100000000, 3, 5885
100000000, 1, 5003
100000000, 2, 4869
100000000, 3, 5943
100000000, 1, 4929
100000000, 2, 5458
100000000, 3, 5692
100000000, 1, 4961
100000000, 2, 4883
100000000, 3, 5697
100000000, 1, 5460
100000000, 2, 5472
100000000, 3, 6064
100000000, 1, 4967
100000000, 2, 5452
100000000, 3, 5770
100000000, 1, 4986
100000000, 2, 4746
100000000, 3, 5691
100000000, 1, 5151
100000000, 2, 5477
100000000, 3, 6244
100000000, 1, 5523
100000000, 2, 4848
100000000, 3, 5990
100000000, 1, 4901
100000000, 2, 4925
100000000, 3, 5770
100000000, 1, 5322
100000000, 2, 5219
100000000, 3, 5765
100000000, 1, 5086
100000000, 2, 5365
100000000, 3, 5645
100000000, 1, 5058
100000000, 2, 5324
100000000, 3, 5793
100000000, 1, 4920
100000000, 2, 4943
100000000, 3, 6033
100000000, 1, 5276
100000000, 2, 4722
100000000, 3, 6111
100000000, 1, 4954
100000000, 2, 5088
100000000, 3, 5777
100000000, 1, 5353
100000000, 2, 5547
100000000, 3, 5533
