Size, Pivot count, Time [ms]
1000000, 1, 49
1000000, 2, 42
1000000, 3, 56
1000000, 1, 46
1000000, 2, 50
1000000, 3, 54
1000000, 1, 51
1000000, 2, 50
1000000, 3, 59
1000000, 1, 48
1000000, 2, 43
1000000, 3, 52
1000000, 1, 47
1000000, 2, 48
1000000, 3, 52
1000000, 1, 46
1000000, 2, 48
1000000, 3, 52
1000000, 1, 49
1000000, 2, 43
1000000, 3, 53
1000000, 1, 50
1000000, 2, 48
1000000, 3, 51
1000000, 1, 53
1000000, 2, 49
1000000, 3, 55
1000000, 1, 49
1000000, 2, 45
1000000, 3, 59
1000000, 1, 51
1000000, 2, 47
1000000, 3, 51
1000000, 1, 45
1000000, 2, 48
1000000, 3, 50
1000000, 1, 49
1000000, 2, 45
1000000, 3, 51
1000000, 1, 44
1000000, 2, 50
1000000, 3, 56
1000000, 1, 44
1000000, 2, 45
1000000, 3, 53
1000000, 1, 45
1000000, 2, 47
1000000, 3, 51
1000000, 1, 48
1000000, 2, 45
1000000, 3, 53
1000000, 1, 46
1000000, 2, 49
1000000, 3, 53
1000000, 1, 49
1000000, 2, 43
1000000, 3, 54
1000000, 1, 45
1000000, 2, 48
1000000, 3, 53
1000000, 1, 45
1000000, 2, 43
1000000, 3, 53
1000000, 1, 49
1000000, 2, 48
1000000, 3, 53
1000000, 1, 45
1000000, 2, 47
1000000, 3, 49
1000000, 1, 46
1000000, 2, 48
1000000, 3, 49
1000000, 1, 48
1000000, 2, 47
1000000, 3, 54
1000000, 1, 52
1000000, 2, 47
1000000, 3, 56
1000000, 1, 46
1000000, 2, 48
1000000, 3, 57
1000000, 1, 51
1000000, 2, 50
1000000, 3, 56
1000000, 1, 59
1000000, 2, 54
1000000, 3, 57
1000000, 1, 45
1000000, 2, 48
1000000, 3, 53
1000000, 1, 49
1000000, 2, 49
1000000, 3, 49
1000000, 1, 46
1000000, 2, 42
1000000, 3, 56
1000000, 1, 46
1000000, 2, 50
1000000, 3, 51
1000000, 1, 45
1000000, 2, 44
1000000, 3, 52
1000000, 1, 45
1000000, 2, 48
1000000, 3, 48
1000000, 1, 45
1000000, 2, 44
1000000, 3, 52
1000000, 1, 45
1000000, 2, 46
1000000, 3, 53
1000000, 1, 47
1000000, 2, 46
1000000, 3, 56
1000000, 1, 45
1000000, 2, 46
1000000, 3, 54
1000000, 1, 47
1000000, 2, 46
1000000, 3, 53
1000000, 1, 43
1000000, 2, 47
1000000, 3, 51
1000000, 1, 49
1000000, 2, 49
1000000, 3, 51
1000000, 1, 44
1000000, 2, 44
1000000, 3, 51
1000000, 1, 45
1000000, 2, 43
1000000, 3, 53
1000000, 1, 45
1000000, 2, 47
1000000, 3, 56
1000000, 1, 44
1000000, 2, 49
1000000, 3, 51
1000000, 1, 48
1000000, 2, 46
1000000, 3, 51
1000000, 1, 44
1000000, 2, 52
1000000, 3, 51
1000000, 1, 48
1000000, 2, 47
1000000, 3, 52
1000000, 1, 47
1000000, 2, 48
1000000, 3, 50
