Size, Pivot count, Time [ms]
50000000, 1, 2488
50000000, 2, 2449
50000000, 3, 2823
50000000, 1, 2573
50000000, 2, 2453
50000000, 3, 2666
50000000, 1, 2509
50000000, 2, 2628
50000000, 3, 2588
50000000, 1, 2655
50000000, 2, 2535
50000000, 3, 2986
50000000, 1, 2535
50000000, 2, 2287
50000000, 3, 3125
50000000, 1, 2666
50000000, 2, 2300
50000000, 3, 2827
50000000, 1, 2511
50000000, 2, 2572
50000000, 3, 2839
50000000, 1, 2659
50000000, 2, 2409
50000000, 3, 2884
50000000, 1, 2591
50000000, 2, 2613
50000000, 3, 3019
50000000, 1, 2647
50000000, 2, 2746
50000000, 3, 2941
50000000, 1, 2476
50000000, 2, 2347
50000000, 3, 2885
50000000, 1, 2602
50000000, 2, 2606
50000000, 3, 2897
50000000, 1, 2591
50000000, 2, 2295
50000000, 3, 2974
50000000, 1, 2530
50000000, 2, 2452
50000000, 3, 2798
50000000, 1, 2571
50000000, 2, 2359
50000000, 3, 2771
50000000, 1, 2502
50000000, 2, 2535
50000000, 3, 3024
50000000, 1, 2527
50000000, 2, 2532
50000000, 3, 2834
50000000, 1, 2669
50000000, 2, 2371
50000000, 3, 2994
50000000, 1, 2605
50000000, 2, 2458
50000000, 3, 3025
50000000, 1, 2405
50000000, 2, 2690
50000000, 3, 2830
50000000, 1, 2482
50000000, 2, 2379
50000000, 3, 2861
50000000, 1, 2563
50000000, 2, 2448
50000000, 3, 3016
50000000, 1, 2457
50000000, 2, 2443
50000000, 3, 2571
50000000, 1, 2676
50000000, 2, 2465
50000000, 3, 2858
50000000, 1, 2673
50000000, 2, 2435
50000000, 3, 2700
50000000, 1, 2363
50000000, 2, 2436
50000000, 3, 2821
50000000, 1, 2476
50000000, 2, 2285
50000000, 3, 2932
50000000, 1, 2532
50000000, 2, 2550
50000000, 3, 3057
50000000, 1, 2504
50000000, 2, 2694
50000000, 3, 2883
50000000, 1, 2705
50000000, 2, 2528
50000000, 3, 2845
50000000, 1, 2530
50000000, 2, 2545
50000000, 3, 2882
50000000, 1, 2548
50000000, 2, 2313
50000000, 3, 2983
50000000, 1, 2771
50000000, 2, 2377
50000000, 3, 2903
50000000, 1, 2472
50000000, 2, 2408
50000000, 3, 2707
50000000, 1, 2451
50000000, 2, 2574
50000000, 3, 3016
50000000, 1, 2533
50000000, 2, 2558
50000000, 3, 2882
50000000, 1, 2406
50000000, 2, 2419
50000000, 3, 2811
50000000, 1, 2542
50000000, 2, 2460
50000000, 3, 2747
50000000, 1, 2732
50000000, 2, 2516
50000000, 3, 2748
50000000, 1, 2426
50000000, 2, 2531
50000000, 3, 2860
50000000, 1, 2646
50000000, 2, 2444
50000000, 3, 3015
50000000, 1, 2546
50000000, 2, 2578
50000000, 3, 2753
50000000, 1, 2551
50000000, 2, 2668
50000000, 3, 2756
50000000, 1, 2512
50000000, 2, 2504
50000000, 3, 2774
50000000, 1, 2561
50000000, 2, 2492
50000000, 3, 2680
50000000, 1, 2525
50000000, 2, 2725
50000000, 3, 2996
50000000, 1, 2680
50000000, 2, 2528
50000000, 3, 2865
50000000, 1, 2416
50000000, 2, 2563
50000000, 3, 2723
50000000, 1, 2367
50000000, 2, 2652
50000000, 3, 2821
50000000, 1, 2557
50000000, 2, 2429
50000000, 3, 2874
